"articulo"|"division"|"grupo"|"clase"|"subclase"|"articulo_desc"|"division_desc"|"grupo_desc"|"clase_desc"|"subclase_desc"
"A0111101"|"A01"|"A011"|"A0111"|"A01111"|"Facturas y churros"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Productos de panadería y pastelería"
"A0111102"|"A01"|"A011"|"A0111"|"A01111"|"Galletas, grisines y tostadas"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Productos de panadería y pastelería"
"A0111103"|"A01"|"A011"|"A0111"|"A01111"|"Galletitas de agua envasadas"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Productos de panadería y pastelería"
"A0111104"|"A01"|"A011"|"A0111"|"A01111"|"Galletitas de agua sueltas"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Productos de panadería y pastelería"
"A0111105"|"A01"|"A011"|"A0111"|"A01111"|"Galletitas dulces envasadas"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Productos de panadería y pastelería"
"A0111106"|"A01"|"A011"|"A0111"|"A01111"|"Galletitas dulces sueltas"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Productos de panadería y pastelería"
"A0111107"|"A01"|"A011"|"A0111"|"A01111"|"Galletitas de otro tipo"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Productos de panadería y pastelería"
"A0111108"|"A01"|"A011"|"A0111"|"A01111"|"Masas secas o finas"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Productos de panadería y pastelería"
"A0111109"|"A01"|"A011"|"A0111"|"A01111"|"Pan envasado en rebanadas blanco"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Productos de panadería y pastelería"
"A0111110"|"A01"|"A011"|"A0111"|"A01111"|"Pan envasado en rebanadas integral"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Productos de panadería y pastelería"
"A0111111"|"A01"|"A011"|"A0111"|"A01111"|"Pan tipo francés fresco en piezas"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Productos de panadería y pastelería"
"A0111112"|"A01"|"A011"|"A0111"|"A01111"|"Pan integral fresco en piezas"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Productos de panadería y pastelería"
"A0111113"|"A01"|"A011"|"A0111"|"A01111"|"Pan para hamburguesas - pebetes - panchos"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Productos de panadería y pastelería"
"A0111114"|"A01"|"A011"|"A0111"|"A01111"|"Pan rallado"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Productos de panadería y pastelería"
"A0111115"|"A01"|"A011"|"A0111"|"A01111"|"Pancitos, bollitos, figazzitas saborizados"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Productos de panadería y pastelería"
"A0111116"|"A01"|"A011"|"A0111"|"A01111"|"Panes y panecillos frescos de otro tipo"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Productos de panadería y pastelería"
"A0111117"|"A01"|"A011"|"A0111"|"A01111"|"Panes y panecillos precocidos y congelados"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Productos de panadería y pastelería"
"A0111118"|"A01"|"A011"|"A0111"|"A01111"|"Pan blanco de molde por pieza"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Productos de panadería y pastelería"
"A0111119"|"A01"|"A011"|"A0111"|"A01111"|"Tortas, tartas, pan dulce"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Productos de panadería y pastelería"
"A0111120"|"A01"|"A011"|"A0111"|"A01111"|"Otros productos de panadería y repostería"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Productos de panadería y pastelería"
"A0111121"|"A01"|"A011"|"A0111"|"A01111"|"Surtidos de productos de panadería y pastelería"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Productos de panadería y pastelería"
"A0111201"|"A01"|"A011"|"A0111"|"A01112"|"Arroz blanco"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Harinas, arroz y cereales"
"A0111202"|"A01"|"A011"|"A0111"|"A01112"|"Arroz integral"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Harinas, arroz y cereales"
"A0111203"|"A01"|"A011"|"A0111"|"A01112"|"Otros arroces con aditamentos"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Harinas, arroz y cereales"
"A0111204"|"A01"|"A011"|"A0111"|"A01112"|"Fideos de arroz"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Harinas, arroz y cereales"
"A0111205"|"A01"|"A011"|"A0111"|"A01112"|"Avena"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Harinas, arroz y cereales"
"A0111206"|"A01"|"A011"|"A0111"|"A01112"|"Cereales en grano"|"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"|"ALIMENTOS "|"Pan y cereales"|"Harinas, arroz y cereales"
