"Provincia","Categoría","precio_x_unidad"
"Buenos Aires","tampones",13.0686258051923
"Buenos Aires","toallitas",10.4551186826229
"CABA","tampones",12.8864547090582
"CABA","toallitas",9.69660229671971
"Catamarca","tampones",14.0436486486486
"Catamarca","toallitas",10.4877664974619
"Chaco","tampones",12.8495918367347
"Chaco","toallitas",10.9053738317757
"Chubut","tampones",15.0172868217054
"Chubut","toallitas",11.6543260188088
"Córdoba","tampones",13.5558862433862
"Córdoba","toallitas",10.2769610342316
"Corrientes","tampones",12.975223880597
"Corrientes","toallitas",10.4916051660517
"Entre Ríos","tampones",12.0302364066194
"Entre Ríos","toallitas",9.73091226031377
"Formosa","tampones",11.5038235294118
"Formosa","toallitas",10
"Jujuy","tampones",12.8854166666667
"Jujuy","toallitas",10.3108282208589
"La Pampa","tampones",14.0147643979058
"La Pampa","toallitas",11.1699246704331
"La Rioja","tampones",13.4207692307692
"La Rioja","toallitas",11.2091208791209
"Mendoza","tampones",14.3123569951757
"Mendoza","toallitas",9.45199225473322
"Misiones","tampones",10.9823076923077
"Misiones","toallitas",10.0707792207792
"Neuquén","tampones",14.9447203947368
"Neuquén","toallitas",11.2331975199291
"Río Negro","tampones",15.2640855457227
"Río Negro","toallitas",11.0646897959184
"Salta","tampones",12.9331297709924
"Salta","toallitas",9.93888617886179
"San Juan","tampones",13.5785546875
"San Juan","toallitas",9.69634765625
"San Luis","tampones",13.5666129032258
"San Luis","toallitas",9.67064144736842
"Santa Cruz","tampones",14.977662835249
"Santa Cruz","toallitas",11.7216511318242
"Santa Fe","tampones",13.5132296650718
"Santa Fe","toallitas",10.9245603015075
"Santiago del Estero","tampones",12.7071052631579
"Santiago del Estero","toallitas",9.85762557077626
"Tierra del Fuego","tampones",13.6890045248869
"Tierra del Fuego","toallitas",10.8065052950076
"Tucumán","tampones",13.9071634615385
"Tucumán","toallitas",10.4158745247148
