"","Categoria","Marca","Mean_precio"
"1","tampones","BONTE",29.2764583333333
"2","tampones","BONTÉ",29.2764583333333
"3","tampones","CARREFOUR",25.62
"4","tampones","ENJOY",49.2182581322141
"5","tampones","FARMACITY",15.25
"6","tampones","JUMBO",34.8302597402597
"7","tampones","KOTEX",43.3509534246575
"8","tampones","NOSOTRAS",38.0729773462783
"9","tampones","O.B.",54.9232
"10","tampones","OB",40.5727949772678
"11","tampones","TAMPAX",28.5418181818182
"12","tampones","VEA",36.7685416666667
"13","tampones","VISIV",32.8988043478261
