Categoría,Marca,Nombre,Presentación,Comercio,Sucursal,Dirección,Localidad,Provincia,Precio de lista
tampones,REAL CUP,Copa Menstrual Talle 0 y 1 Real Cup 2 Un,2.0 un,Wal Mart Argentina S.R.L.,Salta Fuerza Aérea,Avenida Fuerza Aerea Esq. Aguas Blancas 0,BARRIO CASTAÏ¿½ARES,Salta,4429.00
tampones,REAL CUP,Copa Menstrual Talle 0 y 1 Real Cup 2 Un,2.0 un,Wal Mart Argentina S.R.L.,Salta,Av Paraguay 1450,SALTA,Salta,4429.00
tampones,REAL CUP,Copa Menstrual Talle 0 y 1 Real Cup 2 Un,2.0 un,Wal Mart Argentina S.R.L.,Oran,Av Pueyrredon Y Av Palacios 0,SAN RAMON DE LA NUEVA ORAN,Salta,4429.00
tampones,REAL CUP,Copa Menstrual Talle 0 y 1 Real Cup 2 Un,2.0 un,Wal Mart Argentina S.R.L.,Salta Tartagal,Paraguay Y Ruta Nac. Nro. 34 0,TARTAGAL,Salta,4429.00
tampones,ENJOY,Copa Menstrual Talle 1 Enjoy 1 Un,1.0 un,Farmacity S.A.,SALPeatonal [Alberdi 84],Alberdi 84,Salta,Salta,14990.00
tampones,ENJOY,Copa Menstrual Talle 1 Enjoy 1 Un,1.0 un,Farmacity S.A.,SAL BELGRANO [Av. Bel. Esq. Rep. de Siria],Av. Belgrano 1789,Salta,Salta,14990.00
tampones,ENJOY,Copa Menstrual Talle 1 Enjoy 1 Un,1.0 un,Farmacity S.A.,SALNoa [Av. Virrey Toledo 702],Av. Virrey Toledo 702,Salta,Salta,14990.00
tampones,ENJOY,Copa Menstrual Talle 1 Enjoy 1 Un,1.0 un,Farmacity S.A.,Ameghino [Calle ameghino 593/95/97/,Calle Ameghino 593/95/ 97,Salta,Salta,14990.00
tampones,ENJOY,Copa Menstrual Talle 1 Enjoy 1 Un,1.0 un,Farmacity S.A.,SALTA 6 REYES CATOLICOS [Av. Reyes,Av. Reyes Católicos 1503,Tres Cerritos,Salta,14990.00
tampones,ENJOY,Copa Menstrual Talle 1 Enjoy 1 Un,1.0 un,Farmacity S.A.,Tres Arroyos [Colón 240],Colon 240,3 ARROYOS,Buenos Aires,14990.00
tampones,EVACOPA,Copa Menstrual Talle 1 Evacopa 1 Un,1.0 un,Wal Mart Argentina S.R.L.,Salta Fuerza Aérea,Avenida Fuerza Aerea Esq. Aguas Blancas 0,BARRIO CASTAÏ¿½ARES,Salta,19149.00
tampones,EVACOPA,Copa Menstrual Talle 1 Evacopa 1 Un,1.0 un,Wal Mart Argentina S.R.L.,Salta,Av Paraguay 1450,SALTA,Salta,19149.00
tampones,EVACOPA,Copa Menstrual Talle 1 Evacopa 1 Un,1.0 un,Wal Mart Argentina S.R.L.,Oran,Av Pueyrredon Y Av Palacios 0,SAN RAMON DE LA NUEVA ORAN,Salta,19149.00
tampones,EVACOPA,Copa Menstrual Talle 1 Evacopa 1 Un,1.0 un,Farmacity S.A.,SAL BELGRANO [Av. Bel. Esq. Rep. de Siria],Av. Belgrano 1789,Salta,Salta,19849.50
tampones,EVACOPA,Copa Menstrual Talle 1 Evacopa 1 Un,1.0 un,Farmacity S.A.,SALNoa [Av. Virrey Toledo 702],Av. Virrey Toledo 702,Salta,Salta,19849.50
tampones,EVACOPA,Copa Menstrual Talle 1 Evacopa 1 Un,1.0 un,Farmacity S.A.,Ameghino [Calle ameghino 593/95/97/,Calle Ameghino 593/95/ 97,Salta,Salta,19849.50
tampones,EVACOPA,Copa Menstrual Talle 1 Evacopa 1 Un,1.0 un,Wal Mart Argentina S.R.L.,Salta Tartagal,Paraguay Y Ruta Nac. Nro. 34 0,TARTAGAL,Salta,19149.00
tampones,EVACOPA,Copa Menstrual Talle 1 Evacopa 1 Un,1.0 un,Farmacity S.A.,SALTA 6 REYES CATOLICOS [Av. Reyes,Av. Reyes Católicos 1503,Tres Cerritos,Salta,19849.50
tampones,EVACOPA,Copa Menstrual Talle 1 Evacopa 1 Un,1.0 un,Farmacity S.A.,Tres Arroyos [Colón 240],Colon 240,3 ARROYOS,Buenos Aires,19849.50
tampones,ENJOY,Copa Menstrual Talle 2 Enjoy 1 Un,1.0 un,Farmacity S.A.,SALPeatonal [Alberdi 84],Alberdi 84,Salta,Salta,14990.00
tampones,ENJOY,Copa Menstrual Talle 2 Enjoy 1 Un,1.0 un,Farmacity S.A.,SAL BELGRANO [Av. Bel. Esq. Rep. de Siria],Av. Belgrano 1789,Salta,Salta,14990.00
tampones,ENJOY,Copa Menstrual Talle 2 Enjoy 1 Un,1.0 un,Farmacity S.A.,SALNoa [Av. Virrey Toledo 702],Av. Virrey Toledo 702,Salta,Salta,14990.00
tampones,ENJOY,Copa Menstrual Talle 2 Enjoy 1 Un,1.0 un,Farmacity S.A.,Ameghino [Calle ameghino 593/95/97/,Calle Ameghino 593/95/ 97,Salta,Salta,14990.00
