NOMBRE,PRESENTACION,LABORATORIO,BAJA,VIGENCIA,FECHA,PRECIO,DROGA,DROGAS25,DROGAS25EXT,POTENCIA,UPOTENCIA,UNIDADES,TIPOUNIDAD,FORMA,VARIEDAD_REV,VARIEDAD_COUNT,VARIEDAD_COD,VARIEDAD_DES,REMEDIAR,LABSEL,TIPO_DE_VENTA,IMPORTADO,TIPOAGRUPA,MARCAAGRUPA,D_MARCA_CONTROLADO,D_TAMANO,D_PAMI,C_PAMI,C_LABORATORIO,C_BARRA,C_TAMANO,C_ACCION,C_DROGA,C_FORMA,C_UPOTENCI,C_TIPOUNID,C_VIA,SNOMED,GTIN1,TROQUEL,ACCION,VIA,CLAVE,PRECIOPAMI,categoria_busqueda,query
AVANCEL,comp.rec.x 21,PharmaDorf,0,1,04/05/2026,24065,ciproterona+etinilestradiol,,,,mg,21,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00600,7798103390953,001,00326,00964,00054,undefined,00005,00002,376721000221106,07798103390953,5478681,Hormonoterapia,oral,38260,0,estradiol_comprimidos,estradiol
ZINNIA,comp.rec.x 21,Laboratorios Bernabó,0,1,28/04/2026,25838,ciproterona+etinilestradiol,,,,mg,21,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00157,7792175008938,001,00036,00964,00054,undefined,00005,00002,153211000221105,07792175008938,5780551,Anticonceptivo,oral,43482,0,estradiol_comprimidos,estradiol
MILEVA 35,comp.rec.x 21,Elea,0,1,16/04/2026,25892,ciproterona+etinilestradiol,,,,mg,21,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta,Importado,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00498,7796285050863,001,00326,00964,00054,undefined,00005,00002,134421000221104,07796285050863,5146091,Hormonoterapia,oral,33018,0,estradiol_comprimidos,estradiol
DIANE 35,blist.grag.x 21,Bayer (PH),0,1,05/05/2026,27560,ciproterona+etinilestradiol,,,,mg,21,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00214,7795320010510,001,00326,00964,00054,undefined,00005,00002,124291000221104,07795320010510,3036601,Hormonoterapia,oral,661,0,estradiol_comprimidos,estradiol
MARVELON,comp.x 21,Organon Arg.,0,1,04/05/2026,42437,desogestrel+etinilestradiol,,,,mcg,21,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta,Nacional,No controlado, ,NO CONTROLADO,MENOR,50% de descuento,2,00172,7795318000295,001,00036,02826,00054,undefined,00005,00002,169361000221106,07798376720303,2817251,Anticonceptivo,oral,6191,23387,estradiol_comprimidos,estradiol
MERCILON,comp.x 21,Organon Arg.,0,1,04/05/2026,42437,desogestrel+etinilestradiol,,,,mcg,21,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta,Nacional,No controlado, ,NO CONTROLADO,MENOR,50% de descuento,2,00172,7795318001049,001,00036,02826,00054,undefined,00005,00002,98761000221108,07798376720310,3929281,Anticonceptivo,oral,15883,23387,estradiol_comprimidos,estradiol
FLORENCE,comp.rec.x 21,Elea,0,1,16/04/2026,63141,dienogest+etinilestradiol,,,,mg,21,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta,Importado,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00498,7796285053307,001,00036,10505,00054,undefined,00005,00002,115701000221107,07796285053307,5171411,Anticonceptivo,oral,41199,0,estradiol_comprimidos,estradiol
DIENOPIL 28,comp.rec.x 28,PharmaDorf,0,1,04/05/2026,61376,dienogest+etinilestradiol,,,,mg,28,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta,Nacional,No controlado, ,NO CONTROLADO,MENOR,Sin informacion (Sin descuento),0,00600,7798103391271,001,00036,10505,00054,undefined,00005,00002,464951000221105,07798103391271,5790712,Anticonceptivo,oral,61157,0,estradiol_comprimidos,estradiol
AZUCENA,comp.rec.x 28,Laboratorios Bernabó,0,1,28/04/2026,30992,dienogest+valerato de estradiol,,,,mg,28,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta,Nacional,No controlado, ,NO CONTROLADO,MENOR,50% de descuento,2,00157,7792175009331,001,00036,10788,00054,undefined,00005,00002,173171000221106,07792175009331,6145391,Anticonceptivo,oral,47828,22225,estradiol_comprimidos,estradiol
RUBI,comp.rec.x 28,Gador,0,1,29/04/2026,31692,dienogest+valerato de estradiol,,,,No Clasificada,28,unidades,Comprimidos/Pastillas/Tabletas/Grageas,,0, , ,,,Venta Bajo Receta,Nacional,No controlado, ,NO CONTROLADO,MENOR,50% de descuento,2,00103,7792183000498,001,00036,10788,00054,undefined,00005,00002,146521000221108,07792183000498,5961681,Anticonceptivo,oral,45493,22978,estradiol_comprimidos,estradiol
