"CODUSU";"NRO_HOGAR";"ANO4";"TRIMESTRE";"REGION";"MAS_500";"AGLOMERADO";"PONDERA";"PONDIH";"DECCF_R";"DECIF_R";"REALIZADA";"II1";"II2";"II7";"II8";"II9";"V1";"V2";"V21";"V22";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19_A";"V19_B";"IX_TOT";"IX_MEN10";"IX_MAYEQ10";"ITF";"IPCF"
"TQRMNORYVHJKLOCDEGGFB00147627";1;2004;2;42;"S";10;348;0;"12";"12";1;3;3;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;5;0;5;0;0
"TQRMNOPRWHJKLOCDEGGFB00147619";1;2004;2;42;"S";10;348;0;"12";"12";1;4;3;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;1;4;0;0
"TQRMNOPTWHJKLOCDEGGFB00147620";1;2004;2;42;"S";10;348;614;"2";"4";1;4;3;3;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;6;1;5;600;100
"TQRMNOPYQHJKLOCDEGGFB00147621";1;2004;2;42;"S";10;348;0;"12";"12";1;4;4;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;0;0
"TQRMNOQSUHJKLOCDEGGFB00147622";1;2004;2;42;"S";10;348;0;"12";"12";1;4;3;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;0;5;0;0
"TQRMNOQVTHJKLOCDEGGFB00147623";1;2004;2;42;"S";10;348;0;"12";"12";1;4;3;1;1;1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;6;1;5;0;0
"TQRMNOQYVHJKLOCDEGGFB00147624";1;2004;2;42;"S";10;348;741;"8";"9";1;4;3;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;3;1850;462.5
"TQRMNOQQUHLOLLCDEGGFB00147811";2;2004;2;42;"S";10;304;338;"7";"7";1;3;2;3;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;1;2;2;2;3;0;3;1030;343.33
"TQRMNOQXYHLOLLCDEGGFB00017771";1;2004;2;42;"S";10;304;322;"6";"2";1;3;1;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;300;300
"TQRMNORRRHLOLLCDEGGFB00017772";1;2004;2;42;"S";10;304;512;"5";"7";1;4;3;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;0;4;1050;262.5
"TQRMNORUPHLOLLCDEGGFB00017773";1;2004;2;42;"S";10;304;418;"4";"6";1;2;2;1;1;1;1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;1;2;2;2;2;2;2;4;0;4;770;192.5
"TQRMNOSQSHLOLLCDEGGFB00017775";1;2004;2;42;"S";10;304;328;"1";"2";1;1;1;2;2;3;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;2;3;350;70
"TQSMNOSQSHLOLLCDEGGFB00017776";1;2004;2;42;"S";10;304;357;"00";"00";1;1;1;1;2;3;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;1;0;1;0;0
"TQTMNOSQSHLOLLCDEGGFB00017777";1;2004;2;42;"S";10;304;331;"2";"3";1;1;1;2;2;3;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;2;3;450;90
"TQRMNOSTWHLOLLCDEGGFB00017778";1;2004;2;42;"S";10;304;332;"1";"1";1;1;1;6;1;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;150;75
"TQRMNOSUUHLOLLCDEGGFB00017779";2;2004;2;42;"S";10;304;409;"7";"5";1;2;1;3;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;0;2;740;370
"TQRMNORXPHLOLLCDEGGFB00017774";1;2004;2;42;"S";10;304;483;"2";"4";1;3;3;3;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;6;2;4;600;100
"TQRMNOPXUHJNKQCDEGGFB00147702";1;2004;2;42;"S";10;332;413;"8";"3";1;4;1;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;0;1;474;474
"TQRMNOQRPHJNKQCDEGGFB00147703";1;2004;2;42;"S";10;332;445;"3";"2";1;4;2;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;300;150
"TQRMNOSTYHJNKQCDEGGFB00147706";1;2004;2;42;"S";10;332;0;"12";"12";1;4;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;0;1;0;0
"TQRMNOSUPHJNKQCDEGGFB00147707";1;2004;2;42;"S";10;332;0;"12";"12";1;1;1;3;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;0;1;0;0
"TQRMNOSURHJNKQCDEGGFB00147708";1;2004;2;42;"S";10;332;0;"12";"12";1;4;3;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;2;2;0;0
"TQRMNOSVVHJNKQCDEGGFB00147709";1;2004;2;42;"S";10;332;0;"12";"12";1;3;3;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;2;2;0;0
"TQRMNOPRVHKMMOCDEGGFB00024467";1;2004;2;42;"S";10;317;464;"6";"4";1;4;2;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;600;300
"TQRMNOSVRHKMMOCDEGGFB00024475";1;2004;2;42;"S";10;317;0;"12";"12";1;3;1;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;0;0
"TQRMNORSRHJKLOCDEGGFB00147625";1;2004;2;42;"S";10;348;0;"12";"12";1;4;3;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;0;0
"TQRMNORVSHJKLOCDEGGFB00147626";1;2004;2;42;"S";10;348;0;"12";"12";1;5;4;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;0;0
"TQRMNOSSPHJKLOCDEGGFB00147628";1;2004;2;42;"S";10;348;0;"12";"12";1;4;3;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;3;0;0
"TQRMNOQWWHKPKOCDEGGFB00024542";1;2004;2;42;"S";10;362;330;"6";"4";1;2;2;2;2;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;0;2;550;275
"TQRMNORYTHKPKOCDEGGFB00024545";1;2004;2;42;"S";10;362;315;"2";"4";1;1;1;2;3;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;2;3;530;106
"TQRMNOPQTHKPKOCDEGGFB00024537";1;2004;2;42;"S";10;362;270;"1";"1";1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;2;3;150;30
"TQRMNOQRVHKPKOCDEGGFB00024540";1;2004;2;42;"S";10;362;0;"12";"12";1;1;1;2;2;3;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;6;4;2;0;0
"TQSMNOQRVHKPKOCDEGGFB00024541";1;2004;2;42;"S";10;362;350;"1";"1";1;1;1;2;2;3;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;150;75
"TQRMNOQWXHKMMOCDEGGFB00024470";1;2004;2;42;"S";10;317;0;"12";"12";1;4;2;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;0;0
"TQRMNOPVVHKMMOCDEGGFB00024468";1;2004;2;42;"S";10;317;442;"2";"3";1;4;2;3;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;0;4;500;125
