"CODUSU";"NRO_HOGAR";"ANO4";"TRIMESTRE";"REGION";"MAS_500";"AGLOMERADO";"PONDERA";"PONDIH";"DECCFR";"DECIFR";"REALIZADA";"II1";"II2";"II7";"II8";"II9";"V1";"V2";"V21";"V22";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19_A";"V19_B";"IX_TOT";"IX_MEN10";"IX_MAYEQ10";"ITF";"IPCF"
"TQRMNOPPWHMOKSCDEIJAH00145827";1;2004;3;1;"S";33;1429;1375;"5";"6";1;3;2;3;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;2;2;1050;262.5
"TQRMNOQQSHMOKSCDEIJAH00014828";1;2004;3;1;"S";33;1429;1517;"2";"2";1;2;2;3;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;0;4;400;100
"TQRMNOQVTHMOKSCDEIJAH00145828";2;2004;3;1;"S";33;1429;1291;"7";"2";1;2;1;3;1;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;390;390
"TQRMNORWVHMOKSCDEIJAH00014829";1;2004;3;1;"S";33;1429;2109;"6";"8";1;2;1;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;0;4;1500;375
"TQRMNOSSUHMOKSCDEIJAH00014830";1;2004;3;1;"S";33;1429;1839;"4";"6";1;2;2;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;1;4;1050;210
"TQRMNOPVXHMOLPCDEIJAH00153280";1;2004;3;1;"S";33;1261;1596;"2";"2";1;4;3;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;0;4;375;93.75
"TQRMNOQQXHMOLPCDEIJAH00153281";1;2004;3;1;"S";33;1261;1642;"9";"8";1;3;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1500;750
"TQRMNORSRHMOLPCDEIJAH00153283";1;2004;3;1;"S";33;1261;1544;"8";"9";1;3;2;6;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;4;2;2;2300;575
"TQRMNOPQXHMMTMCDEIJAH00014475";1;2004;3;1;"S";33;1125;1530;"9";"8";1;6;2;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;1350;675
"TQRMNOPVQHMMTMCDEIJAH00145514";1;2004;3;1;"S";33;1125;1469;"4";"3";1;3;2;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;420;210
"TQRMNOQXYHMMTMCDEIJAH00014478";1;2004;3;1;"S";33;1125;1791;"9";"10";1;5;4;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;0;4;3600;900
"TQRMNORRYHMMTMCDEIJAH00153075";1;2004;3;1;"S";33;1125;1664;"9";"8";1;3;2;1;1;1;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1650;825
"TQRMNORWQHMMTMCDEIJAH00145515";1;2004;3;1;"S";33;1125;2235;"10";"10";1;6;5;1;1;1;1;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;7;1;6;12602;1800.29
"TQRMNOSUYHMMTMCDEIJAH00014479";1;2004;3;1;"S";33;1125;1639;"5";"4";1;4;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;590;295
"TQRMNOQYXHMMLTCDEIJAH00152935";1;2004;3;1;"S";33;1124;0;"12";"12";1;4;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;0;0
"TQRMNORTYHLOOMCDEIIAD00013555";1;2004;3;1;"S";32;1179;1532;"7";"3";1;6;1;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;403;403
"TQRMNOQVVHLOOMCDEIIAD00144824";1;2004;3;1;"S";32;1179;0;"12";"12";1;2;1;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;0;1;0;0
"TQRMNOQSUHLOOMCDEIIAD00013553";1;2004;3;1;"S";32;1179;1794;"10";"9";1;3;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;2200;1100
"TQRMNOPTSHMMORCDEIJAH00152985";1;2004;3;1;"S";33;1084;1456;"10";"10";1;5;1;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;3100;1550
"TQRMNOQRQHMMORCDEIJAH00152988";1;2004;3;1;"S";33;1084;1502;"6";"5";1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;750;375
"TQRMNOSXVHMNSNCDEIJAH00153233";1;2004;3;1;"S";33;1203;2275;"7";"10";1;3;3;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;6;0;6;2585;430.83
"TQRMNOSRTHMLMOCDEIJAH00014167";1;2004;3;1;"S";33;1390;2103;"7";"8";1;2;1;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;2;2;1780;445
"TQRMNOPUWHMLMOCDEIJAH00014164";1;2004;3;1;"S";33;1390;0;"12";"12";1;4;3;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;4;1;3;0;0
"TQRMNOQPTHMLMOCDEIJAH00014165";1;2004;3;1;"S";33;1390;1958;"9";"8";1;4;3;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;0;2;1500;750
"TQRMNOSVRHMLMOCDEIJAH00014168";1;2004;3;1;"S";33;1390;2156;"7";"7";1;4;3;1;1;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;3;1;2;1200;400
"TQRMNOPPYHMLMOCDEIJAH00145247";1;2004;3;1;"S";33;1390;2958;"9";"10";1;6;4;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;1;2;2;2;2;4;0;4;3950;987.5
"TQRMNOPPRHLOLNCDEIIAD00152783";1;2004;3;1;"S";32;1314;0;"12";"12";1;4;3;1;1;1;1;2;2;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;7;3;4;0;0
"TQRMNOPYQHLOLNCDEIIAD00152784";1;2004;3;1;"S";32;1314;1604;"3";"6";1;3;2;6;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;1;2;2;2;2;6;0;6;1000;166.67
"TQRMNOPTYHMMLTCDEIJAH00152933";1;2004;3;1;"S";33;1124;0;"12";"12";1;6;4;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;5;0;5;0;0
"TQRMNOPYRHLOOMCDEIIAD00013552";1;2004;3;1;"S";32;1179;1701;"10";"10";1;4;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;3500;1750
"TQRMNOPUSHMMRSCDEIJAH00145481";1;2004;3;1;"S";33;1097;1264;"9";"5";1;3;1;6;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;0;1;800;800
"TQRMNOQWYHLLLPCDEIIAD00144463";1;2004;3;1;"S";32;1263;0;"12";"12";1;3;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;0;2;0;0
"TQRMNOTUXHLLLPCDEIIAD00144465";1;2004;3;1;"S";32;1263;0;"12";"12";1;4;2;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;0;0
