"CODUSU";"NRO_HOGAR";"REALIZADA";"ANO4";"TRIMESTRE";"REGION";"MAS_500";"AGLOMERADO";"PONDERA";"II1";"II2";"II7";"II8";"II9";"V1";"V2";"V21";"V22";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19_A";"V19_B";"IX_TOT";"IX_MEN10";"IX_MAYEQ10";"ITF";"DECIFR";"IDECIFR";"RDECIFR";"GDECIFR";"PDECIFR";"ADECIFR";"IPCF";"DECCFR";"IDECCFR";"RDECCFR";"GDECCFR";"PDECCFR";"ADECCFR";"PONDIH";"VII1_1";"VII1_2";"VII2_1";"VII2_2";"VII2_3";"VII2_4"
"TQRMNOQQXHKMLLCDEFKID00219479";1;1;2006;2;43;"S";4;484;3;1;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;600;"3";"3";"3";"2";NA;"2";600;"7";"8";"7";"7";NA;"7";622;97;0;98;0;0;0
"TQRMNOSRRHKMLLCDEFKID00223466";1;1;2006;2;43;"S";4;484;2;1;3;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;0;1;1000;"5";"5";"5";"5";NA;"5";1000;"9";"9";"9";"9";NA;"9";457;1;98;98;0;0;0
"TQRMNORUUHKMLLCDEFKID00219481";1;1;2006;2;43;"S";4;484;3;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;1;1;1250;"6";"6";"6";"6";NA;"6";625;"7";"8";"7";"7";NA;"8";674;1;0;97;0;0;0
"TQRMNOPXTHKMLLCDEFKID00219478";1;1;2006;2;43;"S";4;484;2;1;3;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;0;2;500;"2";"2";"2";"2";NA;"2";250;"3";"4";"3";"3";NA;"3";538;1;2;98;0;0;0
"TQRMNOQURHKMLLCDEFKID00219480";1;1;2006;2;43;"S";4;484;2;1;3;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;2;0;2;1400;"6";"7";"7";"6";NA;"7";700;"8";"8";"8";"8";NA;"8";740;2;0;1;0;0;0
"TQRMNOPQXHKMLLCDEFKID00219477";1;1;2006;2;43;"S";4;484;2;1;3;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;0;0;1300;"6";"6";"6";"6";NA;"6";650;"7";"8";"8";"7";NA;"8";631;1;2;98;0;0;0
"TQRMNOPUUHLPKMCDEFKID00177812";1;1;2006;2;43;"S";4;689;2;1;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;1;4;800;"4";"4";"4";"3";NA;"4";160;"2";"2";"2";"2";NA;"2";946;2;0;98;0;0;0
"TQRMNOQQVHLPKMCDEFKID00177813";1;1;2006;2;43;"S";4;689;3;3;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;7;1;6;1300;"6";"7";"6";"6";NA;"6";185.71;"2";"3";"2";"2";NA;"2";995;2;0;98;0;0;0
"TQRMNORQRHLPKMCDEFKID00177814";1;1;2006;2;43;"S";4;689;3;2;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;0;"12";"12";"12";"12";NA;"12";0;"12";"12";"12";"12";NA;"12";0;2;0;98;0;0;0
"TQRMNOSWSHLPKMCDEFKID00177816";1;1;2006;2;43;"S";4;689;3;3;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;6;1;5;950;"4";"5";"5";"4";NA;"5";158.33;"2";"2";"2";"2";NA;"2";848;2;0;98;0;0;0
