PP04B_COD,codigo
"01",1,"A. Agricultura, caza, silvicultura y pesca."
"0101",1,"A. Agricultura, caza, silvicultura y pesca."
"0102",1,"A. Agricultura, caza, silvicultura y pesca."
"0103",1,"A. Agricultura, caza, silvicultura y pesca."
"0104",1,"A. Agricultura, caza, silvicultura y pesca."
"0105",1,"A. Agricultura, caza, silvicultura y pesca."
"02",1,"A. Agricultura, caza, silvicultura y pesca."
"0200",1,"A. Agricultura, caza, silvicultura y pesca."
"03",1,"A. Agricultura, caza, silvicultura y pesca."
"0300",1,"A. Agricultura, caza, silvicultura y pesca."
"05",2,"B. Explotación de minas y canteras."
"0500",2,"B. Explotación de minas y canteras."
"500",2,"B. Explotación de minas y canteras."
"06",2,"B. Explotación de minas y canteras."
"0600",2,"B. Explotación de minas y canteras."
"07",2,"B. Explotación de minas y canteras."
"0700",2,"B. Explotación de minas y canteras."
"08",2,"B. Explotación de minas y canteras."
"0800",2,"B. Explotación de minas y canteras."
"09",2,"B. Explotación de minas y canteras."
"0900",2,"B. Explotación de minas y canteras."
"10",3,"C. Industria Manufacturera."
"1001",3,"C. Industria Manufacturera."
"1002",3,"C. Industria Manufacturera."
"1003",3,"C. Industria Manufacturera."
"1009",3,"C. Industria Manufacturera."
"11",3,"C. Industria Manufacturera."
"1100",3,"C. Industria Manufacturera."
"12",3,"C. Industria Manufacturera."
"1200",3,"C. Industria Manufacturera."
"13",3,"C. Industria Manufacturera."
"1300",3,"C. Industria Manufacturera."
"14",3,"C. Industria Manufacturera."
"1400",3,"C. Industria Manufacturera."
"15",3,"C. Industria Manufacturera."
"1501",3,"C. Industria Manufacturera."
"1502",3,"C. Industria Manufacturera."
"16",3,"C. Industria Manufacturera."
"1600",3,"C. Industria Manufacturera."
"17",3,"C. Industria Manufacturera."
"1700",3,"C. Industria Manufacturera."
"18",3,"C. Industria Manufacturera."
"1800",3,"C. Industria Manufacturera."
"19",3,"C. Industria Manufacturera."
"1901",3,"C. Industria Manufacturera."
"1902",3,"C. Industria Manufacturera."
"20",3,"C. Industria Manufacturera."
"2001",3,"C. Industria Manufacturera."
"2002",3,"C. Industria Manufacturera."
"2009",3,"C. Industria Manufacturera."
"21",3,"C. Industria Manufacturera."
"2100",3,"C. Industria Manufacturera."
"22",3,"C. Industria Manufacturera."
"2201",3,"C. Industria Manufacturera."
"2202",3,"C. Industria Manufacturera."
"23",3,"C. Industria Manufacturera."
"2301",3,"C. Industria Manufacturera."
"2309",3,"C. Industria Manufacturera."
"24",3,"C. Industria Manufacturera."
"2400",3,"C. Industria Manufacturera."
"25",3,"C. Industria Manufacturera."
"2500",3,"C. Industria Manufacturera."
"26",3,"C. Industria Manufacturera."
"2601",3,"C. Industria Manufacturera."
"2602",3,"C. Industria Manufacturera."
"2603",3,"C. Industria Manufacturera."
"2604",3,"C. Industria Manufacturera."
"27",3,"C. Industria Manufacturera."
"2701",3,"C. Industria Manufacturera."
"2709",3,"C. Industria Manufacturera."
"28",3,"C. Industria Manufacturera."
"2800",3,"C. Industria Manufacturera."
"29",3,"C. Industria Manufacturera."
"2900",3,"C. Industria Manufacturera."
"30",3,"C. Industria Manufacturera."
"3001",3,"C. Industria Manufacturera."
"3002",3,"C. Industria Manufacturera."
"3003",3,"C. Industria Manufacturera."
"3009",3,"C. Industria Manufacturera."
"31",3,"C. Industria Manufacturera."
"3100",3,"C. Industria Manufacturera."
"32",3,"C. Industria Manufacturera."
"3200",3,"C. Industria Manufacturera."
"33",3,"C. Industria Manufacturera."
"3300",3,"C. Industria Manufacturera."
"35",4,"D. Suministro de electricidad, gas, vapor y aire acondicionado."
"3501",4,"D. Suministro de electricidad, gas, vapor y aire acondicionado."
"3502",4,"D. Suministro de electricidad, gas, vapor y aire acondicionado."
"36",5,"E. Suministro de agua; alcantarillado, gestión de desechos y actividades de saneamiento."
"3600",5,"E. Suministro de agua; alcantarillado, gestión de desechos y actividades de saneamiento."
"37",5,"E. Suministro de agua; alcantarillado, gestión de desechos y actividades de saneamiento."
"3700",5,"E. Suministro de agua; alcantarillado, gestión de desechos y actividades de saneamiento."
"38",5 
"3800",5,"E. Suministro de agua; alcantarillado, gestión de desechos y actividades de saneamiento."
"39",5,"E. Suministro de agua; alcantarillado, gestión de desechos y actividades de saneamiento."
"3900",5,"E. Suministro de agua; alcantarillado, gestión de desechos y actividades de saneamiento."
"40",6,"F. Construcción."
"4000",6,"F. Construcción."
"45",7,"G. Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas."
"4501",7,"G. Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas."
"4502",7,"G. Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas."
"4503",7,"G. Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas."
"4504",7,"G. Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas."
"48",7,"G. Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas."
"4801",7,"G. Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas."
"4802",7,"G. Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas."
"4803",7,"G. Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas."
"4804",7,"G. Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas."
"4805",7,"G. Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas."
"4806",7,"G. Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas."
"4807",7,"G. Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas."
"4808",7,"G. Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas."
"4809",7,"G. Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas."
"4810",7,"G. Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas."
"4811",7,"G. Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas."
"49",8,"H. Transporte y almacenamiento."
"4901",8,"H. Transporte y almacenamiento."
"4902",8,"H. Transporte y almacenamiento."
"4903",8,"H. Transporte y almacenamiento."
"4904",8,"H. Transporte y almacenamiento."
"4905",8,"H. Transporte y almacenamiento."
"4909",8,"H. Transporte y almacenamiento."
"50",8,"H. Transporte y almacenamiento."
"5000",8,"H. Transporte y almacenamiento."
"51",8,"H. Transporte y almacenamiento."
"5100",8,"H. Transporte y almacenamiento."
"52",8,"H. Transporte y almacenamiento."
"5201",8,"H. Transporte y almacenamiento."
"5202",8,"H. Transporte y almacenamiento."
"53",8,"H. Transporte y almacenamiento."
"5300",8,"H. Transporte y almacenamiento."
"55",9,"I. Alojamiento y servicios de comidas."
"5500",9,"I. Alojamiento y servicios de comidas."
"56",9,"I. Alojamiento y servicios de comidas."
"5601",9,"I. Alojamiento y servicios de comidas."
"5602",9,"I. Alojamiento y servicios de comidas."
"58",10,"J. Información y comunicación."
"5800",10,"J. Información y comunicación."
"59",10,"J. Información y comunicación."
"5900",10,"J. Información y comunicación."
"60",10,"J. Información y comunicación."
"6000",10,"J. Información y comunicación."
"61",10,"J. Información y comunicación."
"6100",10,"J. Información y comunicación."
"62",10,"J. Información y comunicación."
"6200",10,"J. Información y comunicación."
"63",10,"J. Información y comunicación."
"6300",10,"J. Información y comunicación."
"64",11,"K. Actividades financieras y de seguros."
"6400",11,"K. Actividades financieras y de seguros."
"65",11,"K. Actividades financieras y de seguros."
"6500",11,"K. Actividades financieras y de seguros."
"66",11,"K. Actividades financieras y de seguros."
"6600",11,"K. Actividades financieras y de seguros."
"68",12,"L. Actividades inmobiliarias."
"6800",12,"L. Actividades inmobiliarias."
"69",13,"M. Actividades profesionales, científicas y ténicas."
"6900",13,"M. Actividades profesionales, científicas y ténicas."
"70",13,"M. Actividades profesionales, científicas y ténicas."
"7000",13,"M. Actividades profesionales, científicas y ténicas."
"71",13,"M. Actividades profesionales, científicas y ténicas."
"7100",13,"M. Actividades profesionales, científicas y ténicas."
"72",13,"M. Actividades profesionales, científicas y ténicas."
"7200",13,"M. Actividades profesionales, científicas y ténicas."
"73",13,"M. Actividades profesionales, científicas y ténicas."
"7301",13,"M. Actividades profesionales, científicas y ténicas."
"7302",13,"M. Actividades profesionales, científicas y ténicas."
"74",13,"M. Actividades profesionales, científicas y ténicas."
"7400",13,"M. Actividades profesionales, científicas y ténicas."
"75",13,"M. Actividades profesionales, científicas y ténicas."
"7500",13,"M. Actividades profesionales, científicas y ténicas."
"77",14,"N. Actividades administrativas y servicios de apoyo."
"7701",14,"N. Actividades administrativas y servicios de apoyo."
